draw,all_cause,mental_disorder,cardiovascular,respiratory,self_harm
236,-459.5551623178414,-27.323425451968642,-179.24030523581328,-67.3622247935196,-3.5584476102029887
237,-498.7104501637706,-30.20347719307357,-192.6553422743337,-75.06708598254464,-2.4296481700267787
238,-508.7484332224872,-35.95657873775184,-200.85000167432744,-77.88816289841937,-1.9395314135541195
239,-553.0512726622926,-39.191363679891396,-185.6811132114551,-79.43812932758854,-0.6711556161117502
240,-531.9607406984069,-42.44236934930532,-215.0249003362947,-71.91290290168763,-0.14065454457222512
241,-517.6801043504405,-32.46723785006972,-188.10344652671827,-78.03714264746631,-3.4106243924121364
242,-473.4825352697492,-8.220090637310793,-195.55518832989168,-70.49284198173287,-3.2885646991085986
243,-575.3840066904746,-35.416608042734914,-199.272166989293,-70.25838528967029,-0.5516240384642307
244,-319.4471608742979,-41.04058238734969,-191.70883746704897,-79.58153420796867,-1.9451247991114329
245,-505.23248674517333,-24.978740811667407,-186.75161156815105,-69.7630696985581,-4.086185172011464
246,-621.878338593474,-58.45282528303907,-192.0004531605949,-74.37181412022213,-3.9266653710847823
247,-625.051932450023,-31.154421306117655,-185.63436715625605,-72.97019450552197,-3.2762605651108783
248,-606.2146455134895,-46.774440430960894,-207.19163551676525,-73.4327047824436,-2.069602679529769
249,-366.68335301155366,-34.023699804232145,-200.53398795086903,-71.24372962278902,-1.9500794382128428
250,-530.6075653764161,-29.712906435805237,-199.93848312184016,-64.34395358569745,-2.5781403093156396
251,-484.69168768543256,-39.65601550262937,-210.71811567520956,-70.73592827834872,-3.8953792237794347
252,-380.8516694706996,-42.705283592470714,-191.84458875112617,-75.72882892032703,-2.007209267052765
253,-555.2800700680036,-44.80047058630731,-201.68282884644282,-72.75839393085862,-0.7610880965472376
254,-526.4891531266567,-45.80403488351443,-180.61605353214645,-72.60226259350462,-2.7800184937930457
255,-539.3480049816175,-18.8120925898263,-181.02972606869554,-74.27949407986608,-3.2027015633667038
256,-505.16604944382874,-35.828652179818555,-192.121350927327,-73.21336120684343,-2.1790313217603354
257,-468.76754879778395,-42.94808951218665,-203.8547093333009,-72.99489755519417,-0.44484722056677023
258,-440.83125276251656,-37.768384258382405,-201.4661985339615,-76.2253749445549,-1.1164889404141296
259,-602.8083569682569,-33.13707889461896,-194.61965590990363,-68.95994059995874,-3.544556886745512
260,-461.32738809941486,-23.84365069836368,-184.2820825727354,-77.2469216811998,-1.5248673377402815
261,-617.5598822667821,-30.91873573983693,-191.03324925807087,-72.5594804869335,-1.5289959268738986
262,-463.35955075361016,-33.51672336756982,-171.16979999801555,-75.6787238008211,-3.022169650883007
263,-376.241453419222,-44.13122071791666,-188.42549594409084,-68.8996301265581,-1.7692195815521181
264,-533.2950908109988,-53.56163185207793,-204.2452505307683,-74.29040802597899,-3.387515053110412
265,-612.6954039276475,-36.87526811962211,-194.23007976507742,-71.74019030598389,-2.3085769892383783
266,-487.15221944213374,-54.430128818374754,-195.14117302715,-74.10910865424766,-4.418545171805447
267,-399.6946623010293,-47.79115023352074,-198.92340553092671,-73.8072628891266,-1.7446772827207753
268,-510.83532995664865,-25.787929740561225,-210.59006316495888,-68.16880017904893,-1.275994914339561
269,-568.7575592981951,-55.00913957536143,-185.07758812904225,-70.07309938965217,-0.9242329828315807
270,-585.6946219132524,-34.743957236934875,-205.7159789514083,-75.57639228724864,-2.548489114041861
271,-491.2520794625515,-37.031619646323186,-200.34991814800406,-75.58769551722101,-3.53819180489753
272,-366.3464257855974,-45.44398733397632,-207.36545251533215,-69.62959771770251,-1.946397436567426
273,-448.8873038046822,-14.84638976445336,-209.92308117090565,-68.20628902002954,-4.122490879516519
274,-476.8580606282304,-40.84118972626842,-182.64888467456234,-74.00172434595349,-4.185117230576873
275,-503.6066760460722,-36.739074214078215,-187.50102592420845,-72.2990493044663,-3.1988527838135377
276,-400.80645266971624,-38.142840751691566,-184.07788416038005,-76.65047446564287,-3.664508340091252
277,-494.0136657226613,-28.88803130633764,-178.94640513166124,-71.49266441753903,-3.757398938493758
278,-542.3414471877139,-45.58904699406319,-208.7746928821555,-70.0272216478285,-2.816291500335926
