draw,all_cause,mental_disorder,cardiovascular,respiratory,self_harm
223,-609.238486184916,-39.16424940591767,-200.91502965911556,-76.24777288496217,-1.6447972705251195
224,-615.5870595813639,-46.54970482151484,-182.6011838367831,-65.13928611987414,-0.6800788666974207
225,-437.14512849715527,-30.41088664365524,-216.55619391195413,-81.43263929151647,-3.123240127180686
226,-456.6309494586938,-52.28869641390125,-221.06331970607064,-77.0998104542869,-1.8640534419817785
227,-612.1464377246449,-26.74205438292128,-210.39262033586294,-85.04204548176789,-0.7219803510282146
228,-541.206236468781,-48.43209198592171,-184.2950204136292,-68.68210751111583,-2.8823979734752725
229,-599.8512748950343,-49.85377166695988,-198.29033733751365,-73.55775680891624,-1.2286167628492135
230,-452.70084330206106,-38.03233032142181,-201.81627931718737,-76.75396252272408,-2.327466439342465
231,-609.859956361918,-34.82215116187736,-186.88946037631274,-72.23959889219209,-5.069922483937962
232,-567.0037010587059,-31.221685454628805,-201.8227607051982,-80.30443447932835,-0.42543705361035933
233,-439.4885137294681,-40.47182369075821,-203.63045227092346,-69.63317289227862,-3.2056979043049876
234,-518.6477428346903,-42.39284351926151,-202.8611601098715,-83.78476257047879,-2.278836108850824
235,-355.32295459480423,-41.653465996521575,-199.90702606499354,-76.46120809378789,-3.173672704822154
236,-473.2629367405826,-28.16972372950343,-184.5861685739398,-69.39677528301097,-3.6596294155073936
237,-513.5899949990343,-31.13925927080665,-198.40353641914095,-77.33569854883403,-2.4986681499899515
238,-523.928473634374,-37.07126935473131,-206.84411353801931,-80.2425443827369,-1.9946057961943306
239,-569.5580265359322,-40.40674147350789,-191.2201045968979,-81.83964997618317,-0.690193233724064
240,-547.8358120873918,-43.7590062800013,-221.44466477463249,-74.08566283729782,-0.14464248614474762
241,-533.1275550503351,-33.4733926121173,-193.7150901060436,-80.39605457303085,-3.5075909712607323
242,-487.60703485526824,-8.474189456516376,-201.39039231401864,-72.62246267882743,-3.3820514869519416
243,-592.5598374962863,-36.51449781076891,-205.21891988489284,-72.38088445779273,-0.5672695147800527
244,-328.9669468785258,-42.313549592511585,-197.4286348609883,-81.98741679461772,-2.0003582693745336
245,-520.307269822668,-25.7522284037708,-192.3227087975158,-71.87052469107361,-4.202424020890046
246,-640.447739123449,-60.26911816610882,-197.7289993570613,-76.61929407080777,-4.038351521781905
247,-643.7164854968196,-32.11976104572101,-191.17195660239622,-75.17507938899712,-3.369396614455668
248,-624.3144656799078,-48.22611280350362,-213.37613545863388,-75.65164429570167,-2.1283769471732232
249,-377.614223119893,-35.07825868513018,-206.51861426993193,-73.39615995085713,-2.0054538300528897
250,-546.4421137429038,-30.6334426354829,-205.90523508710618,-66.28688868289996,-2.651387682586029
251,-499.1516348254143,-40.88586169957416,-217.00851706184653,-72.87293289461277,-4.006172608388778
252,-392.205959500871,-44.03011245418017,-197.56845881991728,-78.01755708014485,-2.064208649849708
253,-571.8535887934655,-46.190597364323295,-207.70193986996617,-74.95684301033639,-0.7826783239982563
254,-542.2003733809481,-47.2254482908249,-186.00316280839726,-74.7959675759923,-2.859014776877308
255,-555.4443125483215,-19.3942521045538,-186.4292381832319,-76.52416815427182,-3.2937409082940206
256,-520.2388436259313,-36.939362274420446,-197.85352423696102,-75.42563524669187,-2.2409189171699118
257,-482.75096134415435,-44.28048415604458,-209.93901975375167,-75.20053308278652,-0.45746309563638476
